"ID","IS_PARKING_ENABLED","NAME","DISPLAY_NAME","OPENING_TIME","CLOSING_TIME","CATEGORY_TYPE_ID","PARKING_TYPE_ID","STRUCTURE_TYPE_ID","POWER_SUPPLY_AVAILABLE","SURVEILLANCE_AVAILABLE","VALET","PARKING_ID_NUMBER","PARKING_AGGREGATOR_ID","ADDRESS_ID","PHOTO_ID","CONTACT_DATA_ID","TICKET_SYSTEM_ID","OWNERSHIP_TYPE_ID","IS_PASS_AVAILABLE","CREATED_ON","CREATED_BY","MODIFIED_ON","MODIFIED_BY","GEOHASH","UNIQUE_ID","LOCATION_ID","COMPANY_ID","IS_ONLINE_BOOKABLE","MULTI_BOOKING_DAYS","IS_MULTI_DAYS_PARKING_ALLOWED","PARKPLUS_RATING","PARKING_DISABLE_ON","IS_CANCELLATION_AVAILABLE","IS_DUPLICATE_PARKING","IS_DISABLED_BY_ADMIN"
9002,1,EDMC Parking Under Flyover Mansarovar Park,EDMC Parking Under Flyover Mansarovar Park,1970-01-01 12:00:00.000,1970-01-01 23:59:00.000,100019,100004,100001,1,1,0,"8319",100002,9002,8982,3662,,100002,0,2023-06-06 19:14:11.000,SYSTEM,2023-12-28 17:38:25.000,SYSTEM,ttngp,"8319_562_13",8319,562,1,0,0,,2023-07-31 12:02:33.000,0,0,0
9003,1,Mg Road Arjangarh Opposite Aravali Bio Park,Mg Road Arjangarh Opposite Aravali Bio Park,1970-01-01 00:00:00.000,1970-01-01 23:59:00.000,100019,100004,100001,1,1,0,"8328",100002,9003,8983,3663,,100002,0,2023-06-06 19:14:12.000,SYSTEM,2024-05-27 08:24:00.000,SYSTEM,ttnf4,"8328_562_13",8328,562,0,0,0,,2023-07-31 12:02:34.000,0,0,0
9006,1,NDMC Parking near Bank Of India,NDMC Parking near Bank Of India,1970-01-01 09:00:00.000,1970-01-01 23:00:00.000,100019,100004,100001,1,1,0,"8372",100002,9006,8986,3666,,100002,0,2023-06-06 19:14:13.000,SYSTEM,2024-05-27 18:51:53.000,SYSTEM,ttnfu,"8372_562_13",8372,562,0,1,1,,2023-07-31 12:02:39.000,0,0,0
9008,1,EDMC Parking Preet Vihar Community Center Beside Main Road,EDMC Parking Preet Vihar Community Center Beside Main Road,1970-01-01 12:00:00.000,1970-01-01 23:59:00.000,100019,100004,100001,1,1,0,"8375",100002,9008,8988,3668,,100002,0,2023-06-06 19:14:14.000,SYSTEM,2024-05-24 17:51:01.000,SYSTEM,ttnfy,"8375_562_13",8375,562,0,0,0,,2023-07-31 12:02:40.000,0,0,0
9009,1,Parking near Dlf City Garden Estate,Parking near Dlf City Garden Estate,1970-01-01 00:00:00.000,1970-01-01 23:59:00.000,100019,100004,100001,1,1,0,"8380",100002,9009,8989,3669,,100002,0,2023-06-06 19:14:14.000,SYSTEM,2024-05-27 08:24:03.000,SYSTEM,ttnf4,"8380_562_13",8380,562,0,0,0,,2023-07-31 12:02:40.000,0,0,0
9010,1,Mayur Vihar Extension Metro Station,Mayur Vihar Extension Metro Station,1970-01-01 00:00:00.000,1970-01-01 23:59:00.000,100019,100004,100001,1,1,0,"8381",100002,9010,8990,3670,,100002,0,2023-06-06 19:14:15.000,SYSTEM,2023-12-21 10:58:05.000,SYSTEM,ttnfw,"8381_562_13",8381,562,1,0,0,,2023-07-31 12:02:41.000,0,0,0
9012,1,Nand Nagri Parking - A-3 opposite pehchan Patra office,Nand Nagri Parking - A-3 opposite pehchan Patra office,1970-01-01 00:00:00.000,1970-01-01 23:59:00.000,100019,100004,100001,1,1,0,"8394",100002,9012,8992,3672,,100002,0,2023-06-06 19:14:15.000,SYSTEM,2024-05-27 08:24:03.000,SYSTEM,ttngr,"8394_562_13",8394,562,0,0,0,,2023-07-31 12:04:53.000,0,0,0
9015,1,DMRC parking Escort Mujesar,DMRC parking Escort Mujesar,1970-01-01 00:00:00.000,1970-01-01 23:59:00.000,100019,100004,100001,1,1,0,"8478",100002,9015,8995,3675,,100002,0,2023-06-06 19:14:17.000,SYSTEM,2024-05-21 12:04:01.000,SYSTEM,ttncr,"8478_562_13",8478,562,0,0,0,,2023-07-31 12:05:01.000,0,0,0
9016,1,Omaxe City Center,Omaxe City Center,1970-01-01 00:00:00.000,1970-01-01 23:59:00.000,100019,100004,100001,1,1,0,"8487",100002,9016,8996,3676,,100002,0,2023-06-06 19:14:17.000,SYSTEM,2024-05-27 08:24:05.000,SYSTEM,ttnc9,"8487_562_13",8487,562,0,0,0,,2023-07-31 12:05:01.000,0,0,0
9020,1,EDMC Parking BSES Vikas Marg,EDMC Parking BSES Vikas Marg,1970-01-01 00:00:00.000,1970-01-01 23:59:00.000,100019,100004,100001,1,1,0,"8542",100002,9020,9000,3680,,100002,0,2023-06-06 19:14:19.000,SYSTEM,2024-05-27 08:24:07.000,SYSTEM,ttnfy,"8542_562_13",8542,562,0,30,1,,2023-07-31 12:05:05.000,0,0,0
9022,1,Naraina Commercial Complex in front of LIC Office,Naraina Commercial Complex in front of LIC Office,1970-01-01 10:00:00.000,1970-01-01 20:00:00.000,100019,100004,100001,1,1,0,"8504",100002,9022,9002,3682,,100002,0,2023-06-06 19:14:20.000,SYSTEM,2023-07-31 12:05:04.000,SYSTEM,ttnfg,"8504_562_13",8504,562,1,30,1,,,0,0,0
9023,1,NDMC Parkin near Canara Bank,NDMC Parkin near Canara Bank,1970-01-01 09:00:00.000,1970-01-01 23:00:00.000,100019,100004,100001,1,1,0,"8554",100002,9023,9003,3683,,100002,0,2023-06-06 19:14:20.000,SYSTEM,2024-05-15 12:35:51.000,SYSTEM,ttnfu,"8554_562_13",8554,562,0,30,1,,2023-07-31 12:05:07.000,0,0,0
9026,1,Dilshad Garden PD Authorised Car Parking,Dilshad Garden PD Authorised Car Parking,1970-01-01 00:00:00.000,1970-01-01 23:59:00.000,100019,100004,100001,1,1,0,"8565",100002,9026,9006,3686,,100002,0,2023-06-06 19:14:21.000,SYSTEM,2024-05-27 08:24:09.000,SYSTEM,ttngp,"8565_562_13",8565,562,0,0,0,,2023-07-31 12:05:09.000,0,0,0
9029,1,EDMC Parking Near Mandawali Metro Station-Patparganj,EDMC Parking Near Mandawali Metro Station-Patparganj,1970-01-01 00:00:00.000,1970-01-01 23:59:00.000,100019,100004,100001,1,1,0,"8575",100002,9029,9009,3689,,100002,0,2023-06-06 19:16:32.000,SYSTEM,2024-05-10 10:23:54.000,SYSTEM,ttnfz,"8575_562_13",8575,562,0,0,0,,,0,0,0
9031,1,SDMC Parking Near PNB Bank- Mayapuri,SDMC Parking Near PNB Bank- Mayapuri,1970-01-01 10:00:00.000,1970-01-01 18:00:00.000,100019,100004,100001,1,1,0,"8582",100002,9031,9011,3691,,100002,0,2023-06-06 19:16:34.000,SYSTEM,2024-05-06 17:08:08.000,SYSTEM,ttnfg,"8582_562_13",8582,562,0,0,0,,2023-07-31 12:05:12.000,0,0,0
9032,1,SDMC Parking Near Indian Bank -Mayapuri,SDMC Parking Near Indian Bank -Mayapuri,1970-01-01 10:00:00.000,1970-01-01 18:00:00.000,100019,100004,100001,1,1,0,"8583",100002,9032,9012,3692,,100002,0,2023-06-06 19:16:34.000,SYSTEM,2024-05-06 17:07:17.000,SYSTEM,ttnfg,"8583_562_13",8583,562,0,0,0,,2023-07-31 12:05:13.000,0,0,0
9034,1,Huda Authorized Parking,Huda Authorized Parking,1970-01-01 00:00:00.000,1970-01-01 23:59:00.000,100019,100004,100001,1,1,0,"8592",100002,9034,9014,3694,,100002,0,2023-06-06 19:16:35.000,SYSTEM,2024-05-27 08:24:13.000,SYSTEM,ttncc,"8592_562_13",8592,562,0,30,1,,2023-07-31 12:05:13.000,0,0,0
9035,1,In front of DBS Building No. 10 A,In front of DBS Building No. 10 A,1970-01-01 00:00:00.000,1970-01-01 23:59:00.000,100019,100004,100001,1,1,0,"8593",100002,9035,9015,3695,,100002,0,2023-06-06 19:16:36.000,SYSTEM,2024-05-27 08:24:14.000,SYSTEM,ttnf4,"8593_562_13",8593,562,0,0,0,,2023-07-31 12:05:14.000,0,0,0
